Q6Q6 BOND COORDINATION
      Frame,  Avg Total,   Avg Bulk,   Avg Surf,         T0,         T1,         T2,         T3,         T4,         T5,         T6,         T7,         T8,         T9,        T10,        T11,        T12,        T13,        T14,        T15,        T16,        T17,        T18,        T19,        T20,       T>20,         B0,         B1,         B2,         B3,         B4,         B5,         B6,         B7,         B8,         B9,        B10,        B11,        B12,        B13,        B14,        B15,        B16,        B17,        B18,        B19,        B20,       B>20,         S0,         S1,         S2,         S3,         S4,         S5,         S6,         S7,         S8,         S9,        S10,        S11,        S12,        S13,        S14,        S15,        S16,        S17,        S18,        S19,        S20,       S>20
         40,   1.739750,   3.119835,   0.692790,        275,        123,         47,         24,         16,         13,         12,         12,         10,          5,         11,          2,          4,          3,          3,          0,          1,          0,          0,          0,          0,          0,         87,         40,         22,         10,         13,          9,         11,         12,          9,          5,         11,          2,          4,          3,          3,          0,          1,          0,          0,          0,          0,          0,        188,         83,         25,         14,          3,          4,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
         41,   2.110517,   3.640496,   0.949843,        284,        110,         46,         21,         18,          9,          6,          7,          6,         11,          6,          7,          7,          3,          6,          6,          5,          0,          1,          2,          0,          0,         93,         41,         20,         13,         13,          3,          3,          3,          4,          7,          5,          7,          7,          3,          6,          6,          5,          0,          1,          2,          0,          0,        191,         69,         26,          8,          5,          6,          3,          4,          2,          4,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
         42,   2.406417,   4.243902,   0.971429,        251,        118,         46,         30,         11,         18,         11,          8,         13,          6,          7,         10,          7,          6,          5,          7,          3,          1,          3,          0,          0,          0,         75,         44,         15,         15,          7,         15,          7,          6,         10,          5,          6,         10,          7,          5,          5,          7,          3,          1,          3,          0,          0,          0,        176,         74,         31,         15,          4,          3,          4,          2,          3,          1,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0
         43,   1.650624,   2.752101,   0.839009,        249,        129,         67,         32,         25,         13,         11,          8,          5,          7,          3,          6,          2,          2,          0,          1,          1,          0,          0,          0,          0,          0,         73,         43,         37,         14,         19,         12,          7,          8,          5,          5,          3,          6,          2,          2,          0,          1,          1,          0,          0,          0,          0,          0,        176,         86,         30,         18,          6,          1,          4,          0,          0,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
         44,   1.493761,   2.920833,   0.426791,        336,        106,         32,         14,         11,          7,         11,          6,          3,          9,          5,          3,          5,          5,          3,          0,          2,          2,          1,          0,          0,          0,         99,         48,         17,         10,          8,          5,         10,          6,          3,          8,          5,          3,          5,          5,          3,          0,          2,          2,          1,          0,          0,          0,        237,         58,         15,          4,          3,          2,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
         45,   1.465241,   2.532520,   0.631746,        305,        108,         50,         26,         16,         10,          6,         11,          5,          7,          4,          4,          1,          4,          3,          0,          1,          0,          0,          0,          0,          0,         92,         53,         27,         14,         11,          6,          5,         11,          3,          7,          4,          4,          1,          4,          3,          0,          1,          0,          0,          0,          0,          0,        213,         55,         23,         12,          5,          4,          1,          0,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
         46,   1.372549,   2.440000,   0.514469,        317,        126,         42,         17,         10,          4,          3,         12,          6,          2,          5,          3,          3,          4,          2,          1,          2,          1,          1,          0,          0,          0,        113,         51,         21,         11,          7,          3,          3,         12,          5,          2,          5,          3,          3,          4,          2,          1,          2,          1,          1,          0,          0,          0,        204,         75,         21,          6,          3,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
         47,   1.254902,   1.953191,   0.751534,        277,        136,         71,         20,         14,         12,         12,          3,          7,          1,          2,          2,          3,          0,          1,          0,          0,          0,          0,          0,          0,          0,         89,         54,         36,         12,          8,         12,          7,          2,          6,          1,          2,          2,          3,          0,          1,          0,          0,          0,          0,          0,          0,          0,        188,         82,         35,          8,          6,          0,          5,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
         48,   1.272727,   2.033058,   0.695925,        289,        131,         61,         24,         16,          5,          9,          4,          7,          4,          5,          2,          1,          2,          0,          0,          1,          0,          0,          0,          0,          0,        102,         56,         21,         17,         10,          3,          7,          4,          7,          4,          5,          2,          1,          2,          0,          0,          1,          0,          0,          0,          0,          0,        187,         75,         40,          7,          6,          2,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
         49,   1.176471,   1.757937,   0.702265,        282,        151,         46,         32,         12,         13,          5,          4,          5,          7,          1,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,        110,         61,         19,         19,         10,          9,          4,          4,          5,          7,          1,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,        172,         90,         27,         13,          2,          4,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
