COORDINATION STATS (T=total B=bulk S=surface So=surface only)
      Frame,       Type,  Avg Total,   Avg Bulk,   Avg Surf,  Avg Surfo,         T0,         T1,         T2,         T3,         T4,         T5,         T6,         T7,         T8,         T9,        T10,        T11,        T12,        T13,        T14,        T15,        T16,        T17,        T18,        T19,        T20,         B0,         B1,         B2,         B3,         B4,         B5,         B6,         B7,         B8,         B9,        B10,        B11,        B12,        B13,        B14,        B15,        B16,        B17,        B18,        B19,        B20,         S0,         S1,         S2,         S3,         S4,         S5,         S6,         S7,         S8,         S9,        S10,        S11,        S12,        S13,        S14,        S15,        S16,        S17,        S18,        S19,        S20,        S0o,        S1o,        S2o,        S3o,        S4o,        S5o,        S6o,        S7o,        S8o,        S9o,       S10o,       S11o,       S12o,       S13o,       S14o,       S15o,       S16o,       S17o,       S18o,       S19o,       S20o
         11,      Total,   8.331551,  10.177994,   6.067460,   3.626984,          0,          0,          0,          9,         56,         40,         50,         41,        158,         42,          0,          4,        143,         18,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          8,        129,          7,          0,          4,        143,         18,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          9,         56,         40,         50,         33,         29,         35,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         28,          6,         31,         10,        102,         42,         33,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
         11,          1,  10.516981,  12.084848,   7.930000,   5.080000,          0,          0,          0,          0,          0,          2,          2,         32,         29,         35,          0,          4,        143,         18,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          4,        143,         18,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          2,          2,         32,         29,         35,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         25,         42,         33,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
         11,          2,   6.375000,   7.993056,   4.842105,   2.671053,          0,          0,          0,          9,         56,         38,         48,          9,        129,          7,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          8,        129,          7,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          9,         56,         38,         48,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         28,          6,         31,         10,         77,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
         12,      Total,   8.295900,  10.152104,   6.019841,   3.563492,          0,          0,          0,          8,         57,         44,         50,         36,        166,         35,          0,          5,        148,         12,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          5,        133,          5,          0,          5,        148,         12,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          8,         57,         44,         49,         31,         33,         30,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         28,          5,         32,         16,        104,         37,         30,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
         12,          1,  10.449057,  12.042424,   7.820000,   4.930000,          0,          0,          0,          0,          0,          4,          3,         30,         33,         30,          0,          5,        148,         12,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,        148,         12,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          4,          3,         30,         33,         30,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          2,         33,         35,         30,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
         12,          2,   6.368243,   7.986111,   4.835526,   2.664474,          0,          0,          0,          8,         57,         40,         47,          6,        133,          5,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          5,        133,          5,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          8,         57,         40,         46,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         28,          5,         32,         14,         71,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
         13,      Total,   8.317291,  10.152104,   6.067460,   3.626984,          0,          0,          0,          9,         55,         39,         53,         43,        155,         42,          0,          7,        144,         14,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          9,        128,          7,          0,          7,        144,         14,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          9,         55,         39,         53,         34,         27,         35,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         30,          2,         31,         12,        105,         38,         34,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
         13,          1,  10.467925,  12.042424,   7.870000,   5.000000,          0,          0,          0,          0,          0,          4,          2,         32,         27,         35,          0,          7,        144,         14,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          7,        144,         14,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          4,          2,         32,         27,         35,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          2,         30,         34,         34,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
         13,          2,   6.391892,   7.986111,   4.881579,   2.723684,          0,          0,          0,          9,         55,         35,         51,         11,        128,          7,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          9,        128,          7,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          9,         55,         35,         51,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         30,          2,         31,         10,         75,          4,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
         14,      Total,   8.338681,  10.158576,   6.107143,   3.634921,          0,          0,          0,          5,         56,         45,         54,         30,        163,         42,          1,          5,        147,         13,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,        135,          4,          0,          5,        147,         13,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         56,         45,         54,         25,         28,         38,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         26,          6,         27,         20,        105,         32,         36,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
         14,          1,  10.501887,  12.048485,   7.950000,   5.030000,          0,          0,          0,          0,          0,          3,          6,         24,         28,         38,          1,          5,        147,         13,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,        147,         13,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          3,          6,         24,         28,         38,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,         31,         32,         36,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
