BOND LENGTH STATS (Column blocks for type-type combinations (lengths in Angstrom))
      Frame,      Type1,      Type2, Avg Length,    Std Dev, Max Length, Min Length,  N Lengths,      Type1,      Type2, Avg Length,    Std Dev, Max Length, Min Length,  N Lengths,      Type1,      Type2, Avg Length,    Std Dev, Max Length, Min Length,  N Lengths,      Type1,      Type2, Avg Length,    Std Dev, Max Length, Min Length,  N Lengths
         62,      Total,      Total,   2.663028,   0.241503,   3.298950,   2.005223,       1756,          1,          1,   2.824668,   0.235350,   3.298950,   2.334792,        528,          1,          2,   2.646042,   0.180686,   2.999613,   2.127198,       1038,          2,          2,   2.306632,   0.074505,   2.399740,   2.005223,        190
         63,      Total,      Total,   2.655434,   0.240054,   3.296094,   2.099627,       1793,          1,          1,   2.819458,   0.234240,   3.296094,   2.306917,        512,          1,          2,   2.639329,   0.183282,   2.999801,   2.199876,       1093,          2,          2,   2.302366,   0.073692,   2.399134,   2.099627,        188
         64,      Total,      Total,   2.656849,   0.234967,   3.293854,   2.113386,       1754,          1,          1,   2.806554,   0.224684,   3.293854,   2.251935,        507,          1,          2,   2.648746,   0.183467,   2.999495,   2.174486,       1053,          2,          2,   2.309596,   0.070809,   2.399893,   2.113386,        194
         65,      Total,      Total,   2.656630,   0.239440,   3.289931,   2.059120,       1782,          1,          1,   2.812677,   0.228001,   3.289931,   2.272012,        515,          1,          2,   2.646758,   0.185292,   2.998860,   2.155128,       1071,          2,          2,   2.300548,   0.075766,   2.398114,   2.059120,        196
         66,      Total,      Total,   2.657892,   0.239028,   3.297098,   2.061191,       1773,          1,          1,   2.824634,   0.229885,   3.297098,   2.203059,        501,          1,          2,   2.639548,   0.185337,   2.999410,   2.160233,       1090,          2,          2,   2.308758,   0.070345,   2.400000,   2.061191,        182
         67,      Total,      Total,   2.665396,   0.243636,   3.299268,   2.144101,       1768,          1,          1,   2.832759,   0.239056,   3.299268,   2.262304,        515,          1,          2,   2.643527,   0.185946,   2.999802,   2.157291,       1079,          2,          2,   2.305650,   0.065547,   2.399681,   2.144101,        174
         68,      Total,      Total,   2.649470,   0.238377,   3.290361,   1.952407,       1767,          1,          1,   2.807094,   0.227165,   3.290361,   2.271605,        497,          1,          2,   2.641543,   0.185401,   2.999786,   2.139141,       1071,          2,          2,   2.298462,   0.071324,   2.399699,   1.952407,        199
         69,      Total,      Total,   2.660710,   0.248318,   3.297750,   2.042300,       1810,          1,          1,   2.832000,   0.247042,   3.297750,   2.273785,        513,          1,          2,   2.646501,   0.187688,   2.998359,   2.173276,       1092,          2,          2,   2.307754,   0.070566,   2.399620,   2.042300,        205
         70,      Total,      Total,   2.647050,   0.237178,   3.297202,   2.056105,       1755,          1,          1,   2.806439,   0.227008,   3.297202,   2.291011,        504,          1,          2,   2.631133,   0.185328,   2.999191,   2.100736,       1068,          2,          2,   2.300963,   0.076704,   2.398038,   2.056105,        183
         71,      Total,      Total,   2.666420,   0.245089,   3.299629,   2.107933,       1706,          1,          1,   2.833360,   0.235856,   3.299629,   2.310507,        520,          1,          2,   2.644896,   0.185056,   2.999628,   2.231478,       1004,          2,          2,   2.308192,   0.068530,   2.399967,   2.107933,        182
         72,      Total,      Total,   2.654789,   0.235865,   3.288163,   2.017353,       1737,          1,          1,   2.808413,   0.222890,   3.288163,   2.304023,        495,          1,          2,   2.643096,   0.187509,   2.999876,   2.193130,       1058,          2,          2,   2.308749,   0.073108,   2.399712,   2.017353,        184
         73,      Total,      Total,   2.646532,   0.238841,   3.296343,   2.075056,       1727,          1,          1,   2.799861,   0.224319,   3.296343,   2.247379,        479,          1,          2,   2.638692,   0.193587,   2.998515,   2.184607,       1058,          2,          2,   2.303643,   0.076063,   2.399835,   2.075056,        190
         74,      Total,      Total,   2.658303,   0.240605,   3.290732,   2.073532,       1759,          1,          1,   2.817937,   0.229693,   3.290732,   2.260764,        513,          1,          2,   2.647487,   0.183586,   2.999545,   2.186896,       1048,          2,          2,   2.301953,   0.074694,   2.399399,   2.073532,        198
         75,      Total,      Total,   2.655175,   0.243284,   3.298456,   2.096957,       1694,          1,          1,   2.815787,   0.241312,   3.298456,   2.169023,        512,          1,          2,   2.632075,   0.189595,   2.999941,   2.158342,       1006,          2,          2,   2.319982,   0.066058,   2.399720,   2.096957,        176
         76,      Total,      Total,   2.666981,   0.245356,   3.294243,   2.060482,       1748,          1,          1,   2.830037,   0.233067,   3.294243,   2.350246,        541,          1,          2,   2.646728,   0.184786,   2.999741,   2.067011,       1026,          2,          2,   2.294421,   0.069740,   2.399454,   2.060482,        181
         77,      Total,      Total,   2.647607,   0.241074,   3.295839,   2.035019,       1720,          1,          1,   2.806449,   0.236340,   3.295839,   2.321304,        483,          1,          2,   2.630577,   0.190311,   2.996278,   2.101159,       1071,          2,          2,   2.295308,   0.081090,   2.399738,   2.035019,        166
         78,      Total,      Total,   2.663035,   0.244051,   3.296757,   2.056205,       1718,          1,          1,   2.823359,   0.238990,   3.296757,   2.233262,        504,          1,          2,   2.643467,   0.189106,   2.999723,   2.120492,       1047,          2,          2,   2.301859,   0.075706,   2.398686,   2.056205,        167
         79,      Total,      Total,   2.644721,   0.247116,   3.294638,   2.008735,       1691,          1,          1,   2.808658,   0.229613,   3.294638,   2.225651,        521,          1,          2,   2.628633,   0.192425,   2.998582,   2.015735,        970,          2,          2,   2.295692,   0.079412,   2.398837,   2.008735,        200
         80,      Total,      Total,   2.652104,   0.251584,   3.293750,   2.013824,       1731,          1,          1,   2.823519,   0.242109,   3.293750,   2.236097,        504,          1,          2,   2.633044,   0.196066,   2.998228,   2.071578,       1040,          2,          2,   2.296112,   0.078603,   2.399976,   2.013824,        187
         81,      Total,      Total,   2.646441,   0.243925,   3.296866,   2.098566,       1692,          1,          1,   2.802474,   0.232632,   3.296866,   2.321153,        507,          1,          2,   2.632121,   0.192688,   2.998916,   2.122841,        999,          2,          2,   2.298042,   0.073988,   2.399368,   2.098566,        186
         82,      Total,      Total,   2.651179,   0.246297,   3.299313,   2.054183,       1707,          1,          1,   2.807487,   0.241167,   3.299313,   2.204626,        494,          1,          2,   2.635500,   0.194789,   2.996867,   2.202012,       1044,          2,          2,   2.291134,   0.075865,   2.398004,   2.054183,        169
         83,      Total,      Total,   2.652883,   0.245830,   3.297244,   2.044069,       1707,          1,          1,   2.803330,   0.237038,   3.297244,   2.178049,        507,          1,          2,   2.643542,   0.194903,   2.999384,   2.108386,       1011,          2,          2,   2.299273,   0.075245,   2.399923,   2.044069,        189
         84,      Total,      Total,   2.650056,   0.252491,   3.297946,   2.068150,       1689,          1,          1,   2.818074,   0.243982,   3.297946,   2.298488,        503,          1,          2,   2.632771,   0.197967,   2.998687,   2.068150,        992,          2,          2,   2.302807,   0.070648,   2.399109,   2.093638,        194
         85,      Total,      Total,   2.649006,   0.253423,   3.297328,   2.022054,       1716,          1,          1,   2.819310,   0.239248,   3.297328,   2.162780,        509,          1,          2,   2.640914,   0.191938,   2.999300,   2.023709,        989,          2,          2,   2.288083,   0.080471,   2.398745,   2.022054,        218
         86,      Total,      Total,   2.654045,   0.250763,   3.299874,   2.096192,       1732,          1,          1,   2.822671,   0.243670,   3.299874,   2.227176,        509,          1,          2,   2.639239,   0.190413,   2.999921,   2.205322,       1028,          2,          2,   2.291941,   0.076807,   2.399886,   2.096192,        195
         87,      Total,      Total,   2.657339,   0.251224,   3.295660,   2.050880,       1711,          1,          1,   2.825009,   0.249010,   3.295660,   2.281687,        497,          1,          2,   2.638643,   0.193695,   2.999797,   2.100119,       1036,          2,          2,   2.297990,   0.074282,   2.399671,   2.050880,        178
         88,      Total,      Total,   2.644171,   0.246148,   3.299365,   2.071085,       1731,          1,          1,   2.804413,   0.241319,   3.299365,   2.191383,        478,          1,          2,   2.634364,   0.195723,   2.999374,   2.109978,       1062,          2,          2,   2.297674,   0.074249,   2.399612,   2.071085,        191
         89,      Total,      Total,   2.651933,   0.253376,   3.293887,   2.044685,       1643,          1,          1,   2.814401,   0.245041,   3.293887,   2.211335,        498,          1,          2,   2.634625,   0.198657,   2.999697,   2.117585,        965,          2,          2,   2.295226,   0.080153,   2.399888,   2.044685,        180
         90,      Total,      Total,   2.649429,   0.253839,   3.299920,   2.038178,       1679,          1,          1,   2.823093,   0.245705,   3.299920,   2.236341,        480,          1,          2,   2.631308,   0.199174,   2.999371,   2.143807,       1015,          2,          2,   2.296355,   0.080569,   2.399944,   2.038178,        184
         91,      Total,      Total,   2.650757,   0.255799,   3.290657,   2.066590,       1717,          1,          1,   2.817593,   0.246496,   3.290657,   2.309506,        519,          1,          2,   2.636798,   0.200359,   2.998761,   2.145376,        989,          2,          2,   2.302515,   0.073460,   2.398940,   2.066590,        209
         92,      Total,      Total,   2.647292,   0.253088,   3.292802,   2.026282,       1698,          1,          1,   2.807819,   0.240962,   3.292802,   2.227589,        484,          1,          2,   2.637513,   0.205424,   3.000000,   2.115570,       1022,          2,          2,   2.294683,   0.075391,   2.398983,   2.026282,        192
         93,      Total,      Total,   2.643597,   0.253738,   3.299129,   2.061831,       1677,          1,          1,   2.813290,   0.249509,   3.299129,   2.200971,        494,          1,          2,   2.629374,   0.194137,   2.999979,   2.174756,        984,          2,          2,   2.292681,   0.077687,   2.399107,   2.061831,        199
         94,      Total,      Total,   2.650359,   0.248646,   3.296017,   2.038802,       1683,          1,          1,   2.811429,   0.249119,   3.296017,   2.172199,        485,          1,          2,   2.634936,   0.192964,   2.999151,   2.119126,       1022,          2,          2,   2.296054,   0.074536,   2.399747,   2.038802,        176
